type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
0,210.0,8,36.29935,59.56544,0.0,4.0,3.0,15000000000,71428571.0,1.0,20,1,1,1,0,0,0
0,260.0,13,36.30661,59.61904,1.0,6.0,4.0,13500000000,51923076.0,2.0,253,1,1,1,0,0,0
1,110.0,16,36.32581,59.58692,18.0,0.0,3.0,4000000000,36363636.0,2.0,204,0,1,1,1,1,1
0,106.0,3,36.36002,59.5174,3.0,5.0,2.0,3800000000,35849056.0,10.0,178,1,1,1,0,0,0
1,510.0,11,36.3182,59.549873,27.0,0.0,5.0,68000000000,133333333.0,1.0,116,0,1,1,0,1,1
0,155.0,2,36.33183891914909,59.50350991234309,0.0,4.0,3.0,6200000000,40000000.0,11.0,91,1,1,1,0,0,0
0,117.0,1,36.3737765,59.47582,0.0,2.0,3.0,4680000000,40000000.0,12.0,29,1,1,1,0,0,0
0,190.0,0,36.32754,59.52752,1.0,4.0,3.0,11500000000,60526315.0,11.0,7,1,1,1,0,0,0
0,92.0,8,36.28718,59.57472,3.0,4.0,2.0,4550000000,49456521.0,1.0,260,1,1,1,0,0,0
0,110.0,1,36.3737765,59.47582,0.0,2.0,2.0,3630000000,33000000.0,12.0,29,1,1,1,1,0,0
0,100.0,3,36.36002,59.5174,12.0,1.0,2.0,3000000000,30000000.0,10.0,178,0,0,1,0,0,1
0,170.0,1,36.3737765,59.47582,0.0,4.0,3.0,111111111,653594.0,12.0,29,1,1,1,0,0,0
0,65.0,5,36.33234062414125,59.48554209952649,14.0,2.0,2.0,2300000000,35384615.0,9.0,150,0,1,1,0,0,0
0,95.0,1,36.3737765,59.47582,7.0,4.0,2.0,2770000000,29157894.0,12.0,29,1,1,1,0,0,0
0,15.0,5,36.31173,59.47398,12.0,0.0,2.0,270000000,18000000.0,9.0,143,0,0,0,0,0,0
0,120.0,12,36.26528,59.60926,0.0,1.0,2.0,2300000000,19166666.0,7.0,259,1,1,1,1,0,0
0,110.0,14,36.3276517,59.564561,19.0,5.0,3.0,5400000000,49090909.0,2.0,268,0,0,0,0,0,0
0,75.0,3,36.36002,59.5174,21.0,3.0,2.0,1800000000,24000000.0,10.0,178,0,1,1,0,0,0
0,75.0,5,36.32676539888356,59.46392572398653,21.0,2.0,2.0,2230000000,29733333.0,9.0,44,0,1,1,0,0,0
